transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,fraud_type
1,684415,2028,1262.77,11/24/2023 22:39,0,Rupay,Bangalore,,28,Identity theft
2,447448,2046,2222.928,03/30/2024 16:18,0,MasterCard,Surat,POS,62,Malware
3,975001,2067,7509.832,03-07-2024 18:27,0,MasterCard,Hyderabad,POS,24,Malware
4,976547,,2782.965,02-01-2024 00:58,0,Rupay,Hyderabad,Digital,62,Payment card fraud
5,935741,2044,,12/22/2023 18:42,0,,Bangalore,Digital,19,scam
6,774817,2001,8526.012,03-04-2024 22:33,1,Rupay,Mumbai,,23,scam
7,957795,2026,1224.773,,0,Visa,Surat,Digital,58,scam
8,266812,2094,9396.354,09-08-2023 01:13,0,,Mumbai,POS,49,Payment card fraud
9,401388,2035,3904.2,01-09-2024 00:43,0,Visa,Kolkata,Digital,37,Malware
,602861,2035,,03-08-2024 08:17,0,MasterCard,Ahmedabad,POS,51,Identity theft
11,903776,2025,,02-12-2024 03:33,0,Visa,Hyderabad,Digital,,phishing
12,620576,2042,8069.63,12/17/2023 07:43,0,Rupay,Hyderabad,POS,33,Malware
13,787150,2026,,11-11-2023 07:38,1,Visa,Surat,POS,42,scam
14,523483,2068,481.95,01-11-2024 14:48,0,,,Digital,29,Identity theft
15,679113,2019,11429.748,09-10-2023 23:01,1,Visa,Mumbai,Digital,24,Payment card fraud
16,441188,2010,10468.106,02/14/2024 06:29,0,MasterCard,Jaipur,,56,Identity theft
17,,2073,10864.872,09-04-2023 03:38,,Visa,Surat,Digital,34,Identity theft
18,953752,2037,14761.674,09-11-2023 04:51,1,MasterCard,Delhi,Digital,62,Malware
19,500558,,15926.13,03-05-2024 05:55,0,Rupay,Chennai,Digital,28,Identity theft
20,935897,2071,2319.39,09-06-2023 20:03,0,MasterCard,Pune,Digital,,Malware
21,315005,2022,2159.85,09-08-2023 13:08,0,Rupay,Mumbai,Digital,40,Identity theft
22,464958,2046,6742.186,10-10-2023 13:28,0,Rupay,Chennai,Digital,44,scam
23,115377,2089,4139.73,11/17/2023 06:42,,MasterCard,Surat,Digital,,phishing
24,972563,2045,10087.944,02/28/2024 13:35,0,MasterCard,Jaipur,Digital,23,Malware
25,919876,2011,10806.276,10/13/2023 08:32,0,Visa,Delhi,Digital,55,Malware
26,491228,2089,3566.54,02-11-2024 12:43,0,Visa,Ahmedabad,POS,19,scam
27,365016,2012,2406.86,,0,MasterCard,,Digital,39,Identity theft
28,207435,2061,7816.23,02/19/2024 22:21,0,MasterCard,,Digital,37,phishing
29,571808,2081,,12-10-2023 23:28,0,MasterCard,Bangalore,Digital,42,scam
30,766497,2088,14823.018,02/20/2024 01:56,1,MasterCard,Hyderabad,Digital,32,Identity theft
31,836156,2096,4692.82,10-08-2023 21:06,0,Rupay,Kolkata,Digital,66,Malware
32,470802,2059,7361.332,03/15/2024 19:46,1,MasterCard,Hyderabad,Digital,46,Identity theft
33,,2042,1801.044,11/23/2023 05:42,,MasterCard,Pune,,25,Malware
34,315537,2075,9386.1,02/25/2024 00:47,0,MasterCard,Jaipur,POS,54,Payment card fraud
35,494874,2099,4545.09,02/14/2024 19:57,,MasterCard,Delhi,POS,66,Malware
,559002,2067,9713.1375,02-03-2024 02:15,1,Rupay,Ahmedabad,POS,69,phishing
,859536,2004,,11-12-2023 20:09,0,Visa,Surat,Digital,50,scam
38,663473,2036,,10/30/2023 00:06,0,Visa,Ahmedabad,Digital,39,phishing
39,771430,2071,14247.4695,01/25/2024 05:11,0,Visa,Jaipur,Digital,67,Payment card fraud
,371258,2091,2206.56,11-08-2023 17:28,,Visa,Surat,Digital,64,phishing
41,100184,2030,1002.36,12-08-2023 21:01,0,Visa,Surat,Digital,22,
42,721575,2008,285.2,11-12-2023 19:17,0,,Pune,Digital,56,scam
43,652898,2050,6437.62,01-03-2024 19:31,1,,Jaipur,Digital,35,Payment card fraud
44,344280,2028,7308.708,03/19/2024 17:18,0,Rupay,Chennai,POS,55,scam
45,928927,2077,,11/14/2023 06:18,1,Rupay,Hyderabad,Digital,24,Payment card fraud
46,775029,2039,2829.444,12/30/2023 07:28,0,Visa,Bangalore,Digital,47,phishing
47,685070,2040,4727.412,03/15/2024 20:44,,Visa,Ahmedabad,Digital,68,phishing
48,,2085,5965.04,10/14/2023 11:36,1,Visa,Chennai,Digital,48,scam
49,732998,2010,4992.83,10-11-2023 17:36,,MasterCard,Bangalore,Digital,27,
50,760284,2022,,,1,Rupay,Delhi,Digital,32,Payment card fraud
51,488045,2000,1407.58,11/22/2023 09:30,1,Visa,Kolkata,POS,59,phishing
52,202454,2045,6966.69,10/17/2023 14:50,1,MasterCard,Ahmedabad,POS,65,phishing
53,105140,2020,4072.97,10-10-2023 12:28,0,Rupay,Pune,POS,61,Identity theft
54,146322,2089,,11-08-2023 03:14,0,MasterCard,Bangalore,POS,35,phishing
55,367959,2035,7190.1,01/25/2024 08:11,0,MasterCard,Surat,Digital,40,phishing
56,256626,2053,,09/19/2023 09:04,1,Visa,Chennai,POS,50,phishing
57,735230,2086,11895.6,09-11-2023 20:17,1,Rupay,Hyderabad,,33,phishing
58,103361,2056,1460.272,09/15/2023 13:25,1,MasterCard,Pune,Digital,55,scam
59,825628,2000,1628.835,12/19/2023 05:24,0,Rupay,Ahmedabad,Digital,,phishing
60,430546,2062,7982.887,,0,Visa,Jaipur,,51,scam
61,802751,2053,5804.95,11/26/2023 19:29,0,Rupay,Chennai,Digital,45,Payment card fraud
62,108281,2054,4166.85,03/18/2024 23:20,0,MasterCard,Pune,Digital,19,scam
63,652304,2039,1386.363,10/16/2023 04:09,0,MasterCard,Kolkata,POS,47,Identity theft
64,141227,2014,1488.795,03-05-2024 23:09,0,Rupay,Ahmedabad,Digital,30,phishing
,808232,2020,13420.8,12-08-2023 01:37,1,MasterCard,Delhi,Digital,58,Identity theft
66,906548,2046,2938.62,03/14/2024 02:12,,MasterCard,Hyderabad,Digital,33,scam
67,422454,2072,5881.59,11-09-2023 04:54,1,MasterCard,Delhi,Digital,22,Identity theft
68,741800,2052,2535.753,,1,Visa,,POS,45,
69,,2008,6447.978,10/24/2023 04:32,0,Visa,Jaipur,Digital,56,Payment card fraud
70,826079,2073,1111.155,,1,MasterCard,Bangalore,POS,62,scam
71,335778,,7821.96,10-08-2023 23:29,1,Rupay,Hyderabad,POS,37,scam
72,801702,2056,722.75,03-12-2024 11:15,0,Visa,Chennai,Digital,41,Payment card fraud
73,423573,2025,,12-11-2023 18:11,0,Rupay,Bangalore,Digital,44,Malware
74,623148,2040,3563.16,12/18/2023 03:52,1,MasterCard,Jaipur,POS,47,scam
75,168286,2034,8948.148,01-12-2024 00:44,0,MasterCard,Mumbai,POS,62,Payment card fraud
76,808569,2062,8806.79,01-02-2024 16:56,0,Rupay,Mumbai,POS,44,scam
77,605173,2024,,10-08-2023 09:53,0,Visa,Pune,POS,43,phishing
78,120413,2089,9635.274,10-06-2023 23:25,1,Rupay,Pune,Digital,24,Payment card fraud
79,582477,2074,3277.12,11/26/2023 06:56,0,Rupay,Ahmedabad,Digital,59,
80,391236,2037,,03/19/2024 23:10,1,MasterCard,Pune,Digital,64,Payment card fraud
81,961549,2001,6711.4,,1,Visa,Kolkata,POS,55,phishing
82,360153,2006,11930.028,12/21/2023 07:36,0,Rupay,Pune,Digital,22,Identity theft
,889878,2081,10948.245,12/27/2023 05:50,1,Visa,Kolkata,Digital,40,Malware
84,800196,2090,10079.91,10/14/2023 23:36,0,MasterCard,Pune,Digital,45,Payment card fraud
85,336634,2033,,01/23/2024 02:34,1,,Delhi,Digital,51,Malware
86,109263,,4678.8,01-08-2024 20:27,0,MasterCard,Surat,Digital,32,phishing
87,211576,2016,648.42,03/22/2024 15:50,0,Visa,Kolkata,POS,49,Identity theft
88,843351,2042,6209.335,02-06-2024 21:48,0,Rupay,Chennai,Digital,43,phishing
89,588414,2058,11494.044,02-03-2024 06:15,0,MasterCard,Ahmedabad,POS,65,Identity theft
90,531947,2050,1794.26,11/22/2023 08:01,0,Rupay,Hyderabad,Digital,48,Payment card fraud
91,852397,2053,,09-08-2023 10:57,1,MasterCard,Kolkata,Digital,36,Malware
92,,2023,3688.722,12-03-2023 05:13,,Visa,Bangalore,POS,,Identity theft
93,370479,2024,8072.235,11/19/2023 23:33,0,Visa,Surat,POS,46,phishing
94,472319,2070,1011.93,02-02-2024 22:22,1,MasterCard,Delhi,Digital,68,Malware
95,379181,2051,6796.785,02-04-2024 00:54,,MasterCard,Mumbai,POS,,scam
96,116505,2069,11360.745,11-03-2023 00:37,0,MasterCard,Delhi,Digital,21,Identity theft
97,246232,2087,3508.34,09/20/2023 18:44,,Visa,Pune,Digital,20,phishing
98,159139,2032,7999.044,09/27/2023 18:03,0,MasterCard,Ahmedabad,Digital,46,Identity theft
,665705,2048,7964.73,09/16/2023 16:50,,MasterCard,,,69,phishing
100,703242,2028,10202.962,03/14/2024 21:41,0,Rupay,Bangalore,Digital,28,Identity theft
101,327304,2062,2384.69,02-12-2024 17:26,1,MasterCard,,Digital,50,phishing
102,268680,2021,,03/13/2024 03:55,0,Rupay,Delhi,Digital,27,
103,300039,2025,1566.54,01/20/2024 17:16,0,Rupay,Surat,Digital,28,phishing
104,108252,2027,17865.378,11/14/2023 00:52,1,Rupay,Kolkata,Digital,,Malware
105,536279,2084,13910.49,01/24/2024 01:04,1,Visa,Ahmedabad,POS,,scam
106,445963,,8133.855,01-04-2024 01:23,0,Rupay,Hyderabad,Digital,38,Identity theft
107,768641,2070,8428.23,02/22/2024 07:36,0,MasterCard,Mumbai,Digital,,scam
108,,2080,6280.236,11-08-2023 13:37,0,Visa,Ahmedabad,POS,48,Identity theft
109,165129,2083,9382.02,02/27/2024 02:19,1,Visa,Pune,Digital,55,scam
110,348705,2048,1405.185,10/27/2023 04:56,1,Visa,Jaipur,Digital,63,Identity theft
111,196434,2019,,09-03-2023 19:59,0,Visa,,Digital,19,phishing
112,893893,2085,1320.75,12/21/2023 11:02,,Visa,Pune,Digital,44,scam
113,119439,2091,14884.866,,,Visa,Delhi,POS,53,Malware
114,330554,2062,11746.77,09/23/2023 02:14,0,Visa,Hyderabad,POS,28,phishing
115,772289,2060,7102.01,10-02-2023 08:45,0,Rupay,Pune,Digital,64,phishing
116,150397,2048,737.64,01/17/2024 04:33,0,MasterCard,Hyderabad,POS,35,Payment card fraud
117,277887,2070,5059.1145,12-08-2023 04:42,0,MasterCard,Ahmedabad,POS,18,Payment card fraud
118,332717,2000,2667.97,02-11-2024 21:08,1,Rupay,Surat,Digital,52,Identity theft
119,784722,2095,4360.032,02/14/2024 15:03,0,Rupay,Mumbai,POS,52,scam
120,,2012,1014.255,02/28/2024 08:31,0,Visa,Mumbai,Digital,48,scam
121,311504,2093,,02-06-2024 06:39,0,,Pune,,45,Identity theft
122,791029,2086,6116.363,09-07-2023 10:01,0,Rupay,Pune,POS,56,phishing
123,335358,2050,4634.955,,,Visa,Hyderabad,Digital,,Payment card fraud
124,780035,2055,3999.97,12-02-2023 15:42,0,MasterCard,Delhi,Digital,42,scam
125,461158,2082,4949.637,03/30/2024 10:30,1,MasterCard,Pune,Digital,,Payment card fraud
126,887624,2061,7231.092,02/17/2024 20:24,0,Visa,Hyderabad,,55,
127,924556,2031,7771.515,02/27/2024 03:22,0,Visa,Chennai,POS,37,Identity theft
128,882252,2029,15176.6175,12-09-2023 23:39,0,Visa,Mumbai,POS,20,phishing
